X(TI)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_MU_NB	CPU_MU_TI	GPU_MU_NB	GPU_MU_TI	MU_NB_DIFF	MU_TI_DIFF	STATUS
0.1	500	-19166.272732690624	-19166.272732730991	0.000000040367	-19764.293346351515	-13784.087210142037	-19764.293346331331	-13784.087210128655	0.000000020184	0.000000013382	PASS
0.2	500	-18568.252119118781	-18568.252119110075	0.000000008706	-19764.293346351507	-13784.087210142023	-19764.293346331335	-13784.087210128644	0.000000020173	0.000000013379	PASS
0.3	500	-17970.231505488602	-17970.231505489126	0.000000000524	-19764.293346351507	-13784.087210142019	-19764.293346331346	-13784.087210128639	0.000000020162	0.000000013380	PASS
0.4	500	-17372.210891867875	-17372.210891868184	0.000000000309	-19764.293346351518	-13784.087210142028	-19764.293346331331	-13784.087210128640	0.000000020187	0.000000013388	PASS
0.5	500	-16774.190278246766	-16774.190278247246	0.000000000480	-19764.293346351489	-13784.087210142019	-19764.293346331342	-13784.087210128651	0.000000020147	0.000000013368	PASS
0.6	500	-16176.169664626037	-16176.169664626306	0.000000000269	-19764.293346351507	-13784.087210142028	-19764.293346331349	-13784.087210128635	0.000000020158	0.000000013393	PASS
0.7	500	-15578.149051003751	-15578.149051005345	0.000000001593	-19764.293346351511	-13784.087210142023	-19764.293346331327	-13784.087210128640	0.000000020184	0.000000013382	PASS
0.8	500	-14980.128437379388	-14980.128437384374	0.000000004986	-19764.293346351486	-13784.087210142015	-19764.293346331324	-13784.087210128633	0.000000020162	0.000000013382	PASS
0.1	600	-24602.651695100249	-24602.651605157564	0.000089942685	-25134.195682177451	-19818.755811405415	-25134.195731795611	-19818.755364570865	0.000049618160	0.000446834551	PASS
0.2	600	-24023.847996680917	-24023.847996677472	0.000000003445	-25191.946820622059	-19351.452700892867	-25191.946820595978	-19351.452700874426	0.000000026081	0.000000018441	PASS
0.3	600	-23439.798584716656	-23439.798584704582	0.000000012074	-25191.946820622066	-19351.452700892849	-25191.946820595946	-19351.452700874434	0.000000026121	0.000000018415	PASS
0.4	600	-22855.749172738811	-22855.749172731666	0.000000007145	-25191.946820622074	-19351.452700892856	-25191.946820595978	-19351.452700874434	0.000000026095	0.000000018423	PASS
0.5	600	-22271.699760757449	-22271.699760758740	0.000000001291	-25191.946820622048	-19351.452700892864	-25191.946820595960	-19351.452700874441	0.000000026088	0.000000018423	PASS
0.6	600	-21687.650348795203	-21687.650348785814	0.000000009390	-25191.946820622074	-19351.452700892864	-25191.946820595946	-19351.452700874437	0.000000026128	0.000000018426	PASS
0.7	600	-21103.600936809868	-21103.600936812865	0.000000002998	-25191.946820622066	-19351.452700892838	-25191.946820595953	-19351.452700874430	0.000000026113	0.000000018408	PASS
0.8	600	-20519.551524839178	-20519.551524839913	0.000000000735	-25191.946820622055	-19351.452700892860	-25191.946820595946	-19351.452700874415	0.000000026110	0.000000018445	PASS
0.1	700	-30513.171371450262	-30513.171291501389	0.000079948873	-30847.254632226006	-27506.422024468735	-30847.254724511971	-27506.421193558104	0.000092285965	0.000830910631	PASS
0.2	700	-30051.108946067761	-30051.108851392321	0.000094675441	-31141.410567201485	-25689.902461532885	-31141.410602889773	-25689.902318597407	0.000035688288	0.000142935478	PASS
0.3	700	-29485.019807789937	-29485.019807794608	0.000000004671	-31192.850577251676	-25500.081345711205	-31192.850577218069	-25500.081345688071	0.000000033608	0.000000023134	PASS
0.4	700	-28915.742884636355	-28915.742884640495	0.000000004140	-31192.850577251669	-25500.081345711176	-31192.850577218080	-25500.081345688064	0.000000033589	0.000000023112	PASS
0.5	700	-28346.465961481445	-28346.465961486501	0.000000005057	-31192.850577251713	-25500.081345711154	-31192.850577218054	-25500.081345688031	0.000000033659	0.000000023123	PASS
0.6	700	-27777.189038327146	-27777.189038332341	0.000000005195	-31192.850577251698	-25500.081345711154	-31192.850577218127	-25500.081345688017	0.000000033571	0.000000023138	PASS
0.7	700	-27207.912115174746	-27207.912115178300	0.000000003554	-31192.850577251676	-25500.081345711180	-31192.850577218087	-25500.081345688046	0.000000033589	0.000000023134	PASS
0.8	700	-26635.447407143452	-26635.447551166468	0.000144023015	-31382.671693073393	-25448.641335660959	-31382.671493335340	-25448.641385555096	0.000199738053	0.000049894137	PASS
0.1	800	-36808.888762382659	-36808.888719846087	0.000042536572	-36944.845099365964	-35585.281729532762	-36944.845248927064	-35585.280383076592	0.000149561100	0.001346456171	PASS
0.2	800	-36508.034380134413	-36508.034284217138	0.000095917276	-37336.931739337953	-33192.444943320297	-37336.931810954266	-33192.444656633787	0.000071616312	0.000286686511	PASS
0.3	800	-36036.679374431849	-36036.679297511037	0.000076920813	-37572.864150519235	-32452.248230228040	-37572.864175635026	-32452.248171466839	0.000025115791	0.000058761201	PASS
0.4	800	-35504.861550318034	-35504.861518131904	0.000032186130	-37685.041812458257	-32234.591157107774	-37685.041816245975	-32234.591151303008	0.000003787718	0.000005804766	PASS
0.5	800	-34954.503695407700	-34954.503717097417	0.000021689717	-37723.694879628805	-32185.312511186079	-37723.694878569455	-32185.312512146753	0.000001059350	0.000000960674	PASS
0.6	800	-34397.185076629372	-34397.185153068414	0.000076439042	-37772.973525550507	-32146.659444015488	-37772.973512261393	-32146.659452795437	0.000013289115	0.000008779949	PASS
0.7	800	-33821.326427054788	-33821.326559843605	0.000132788817	-37990.630598670745	-32034.481782076495	-37990.630511486925	-32034.481819377612	0.000087183820	0.000037301117	PASS
0.8	800	-33185.004959068778	-33185.005166065559	0.000206996781	-38730.827311763038	-31798.549370895224	-38730.826941893181	-31798.549463312404	0.000369869857	0.000092417180	PASS
0.1	900	-43446.005516023033	-43446.005540477519	0.000024454486	-43383.221387517377	-44011.062672574117	-43383.221609697277	-44011.060672475476	0.000222179900	0.002000098641	PASS
0.2	900	-43306.972718605699	-43306.972636006052	0.000082599647	-43873.238732485872	-41041.908663085022	-43873.238853085648	-41041.908180423168	0.000120599776	0.000482661853	PASS
0.3	900	-42943.513469802238	-42943.513387626524	0.000082175713	-44220.195820064837	-39964.587985856233	-44220.195875290767	-39964.587856807564	0.000055225930	0.000129048669	PASS
0.4	900	-42479.420300286060	-42479.420259644809	0.000040641251	-44460.542064746202	-39507.737653595934	-44460.542081390013	-39507.737628482828	0.000016643811	0.000025113106	PASS
0.5	900	-41961.856346123670	-41961.856366574131	0.000020450461	-44650.786390313173	-39272.926301934123	-44650.786382949525	-39272.926309179049	0.000007363647	0.000007244926	PASS
0.6	900	-41403.848282610263	-41403.848373504676	0.000090894413	-44885.597741974969	-39082.681976367116	-44885.597694092467	-39082.682008193027	0.000047882502	0.000031825912	PASS
0.7	900	-40792.369434450666	-40792.369605869404	0.000171418738	-45342.448074235261	-38842.335731685765	-45342.447898016879	-38842.335807131385	0.000176218382	0.000075445620	PASS
0.8	900	-40080.256665578272	-40080.256948441056	0.000282862784	-46419.768751464122	-38495.378644106808	-46419.768160917738	-38495.378791682633	0.000590546384	0.000147575825	PASS

# SUMMARY
# Total conditions tested: 40
# Passed: 40
# Failed: 0
# Pass rate: 100.0%
# CPU time: 0.7 seconds
# GPU time: 11.4 seconds
# Speedup: 0.1x
# Total time: 12.1 seconds
