X(BI)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_MU_AU	CPU_MU_BI	GPU_MU_AU	GPU_MU_BI	MU_AU_DIFF	MU_BI_DIFF	STATUS
0.1	300	-14524.088714962019	-14524.088715001781	0.000000039761	-14246.666045203792	-17020.892743183747	-14246.666045203772	-17020.892743183715	0.000000000020	0.000000000033	PASS
0.1	300	-14607.315515902257	-14524.088715001786	83.226800900471	-14246.666045203785	-17020.892743183740	-14246.666045203772	-17020.892743183715	0.000000000013	0.000000000025	FAIL
0.2	300	-14690.542316910614	-14524.088715001782	166.453601908832	-14246.666045203794	-17020.892743183744	-14246.666045203772	-17020.892743183707	0.000000000022	0.000000000036	FAIL
0.2	300	-14773.769117797370	-14524.088715001784	249.680402795586	-14246.666045203780	-17020.892743183747	-14246.666045203767	-17020.892743183715	0.000000000013	0.000000000033	FAIL
0.2	300	-14856.995918694403	-14524.088715001784	332.907203692619	-14246.666045203789	-17020.892743183755	-14246.666045203769	-17020.892743183707	0.000000000020	0.000000000047	FAIL
0.2	300	-14940.222719757439	-14524.088715001782	416.134004755657	-14246.666045203787	-17020.892743183747	-14246.666045203772	-17020.892743183715	0.000000000015	0.000000000033	FAIL
0.3	300	-15023.449520617622	-14524.088715001784	499.360805615837	-14246.666045203798	-17020.892743183751	-14246.666045203765	-17020.892743183715	0.000000000033	0.000000000036	FAIL
0.3	300	-15106.676321638473	-14524.088715001786	582.587606636687	-14246.666045203798	-17020.892743183740	-14246.666045203770	-17020.892743183711	0.000000000027	0.000000000029	FAIL
0.3	300	-15189.903122493619	-14524.088715001782	665.814407491836	-14246.666045203790	-17020.892743183747	-14246.666045203772	-17020.892743183715	0.000000000018	0.000000000033	FAIL
0.4	300	-15273.129923528943	-14524.088715001788	749.041208527155	-14246.666045203790	-17020.892743183747	-14246.666045203772	-17020.892743183707	0.000000000018	0.000000000040	FAIL
0.4	300	-15356.356724395766	-14524.088715001781	832.268009393985	-14246.666045203794	-17020.892743183744	-14246.666045203776	-17020.892743183718	0.000000000018	0.000000000025	FAIL
0.4	300	-15439.583525335180	-14524.088715001786	915.494810333394	-14246.666045203807	-17020.892743183755	-14246.666045203772	-17020.892743183707	0.000000000035	0.000000000047	FAIL
0.5	300	-15522.810326081784	-14524.088715001782	998.721611080002	-14246.666045203787	-17020.892743183733	-14246.666045203769	-17020.892743183707	0.000000000018	0.000000000025	FAIL
0.5	300	-15606.037127213998	-14524.088715001782	1081.948412212216	-14246.666045203787	-17020.892743183751	-14246.666045203765	-17020.892743183715	0.000000000022	0.000000000036	FAIL
0.5	300	-15689.263928152515	-14524.088715001782	1165.175213150733	-14246.666045203774	-17020.892743183747	-14246.666045203774	-17020.892743183715	0.000000000000	0.000000000033	FAIL
